Investor name,Website,Global HQ,Countries of investment,Stage of investment,Investment thesis,Investor type,First cheque minimum,First cheque maximum
B&C Innovation Investments,https://bcgruppe.at/en/innovation-investments/,"Universitätsring 14 , Wien, Wien 1010, AT","Austria,Germany,Switzerland","3. Early Revenue,4. Scaling,5. Growth,6. Pre-IPO","We invest in technology scale-ups that provide industrial applications, and whose scaleable B2B business models are based on supporting industrial companies in the areas of digitalisation and/or optimisation.",Other,"$1,000,000","$20,000,000"
b2venture,https://www.b2venture.vc/,"Unterstrasse 6, 9000 St. Gallen, Switzerland","Switzerland,Germany,Austria,Poland,UK,France,Spain,Portugal,Netherlands,Belgium,Italy,Czech Republic,Hungary","2. Prototype,3. Early Revenue,4. Scaling","We invest in (AI-enabled) B2C- and B2B-oriented businesses amongst others in the fields of fintech, supply chain, sustainability, horizontal AI, robotics and digital health.",VC,"$500,000","$3,000,000"
Babajide Tella,,"New York, USA","Ghana,Kenya,Nigeria,South Africa,USA,UK,Saudi Arabia,UAE","2. Prototype,3. Early Revenue,4. Scaling","I invest in early-stage startups led by mission-driven founders solving high-impact problems in Nigeria and African markets. My focus areas include technology, consumer goods, financial services, retail, and emerging sectors like AI and blockchain. I’m especially interested in businesses with a strong execution team and a clear growth path.",Solo angel,"$5,000","$50,000"
Babak Kia,,"Boston, MA, USA","USA,UAE","1. Idea or Patent,3. Early Revenue,4. Scaling","I invest in founders focused on applying technology to a business solution, who either have a lot of proof on the technology side, or good proof on the GTM side.",Solo angel,"$25,000","$100,000"
BackBone Ventures,https://www.backboneventures.ch/,"Bellerivestrasse 2, 8008, Zurich, Switzerland","Switzerland,Germany,Austria,Israel","1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling","We invest in early-stage startups, primarily in the area of innovative ICT, FoodTech and disruptive technologies in DACH & Israel.",VC,"$100,000","$1,100,000"
Backed VC,https://www.backed.vc/,"8 Printing House Yard, London, England E2 7PR, GB",UK,"2. Prototype,3. Early Revenue,4. Scaling,1. Idea or Patent","We invest in founders over markets, so we're mostly sector-agnostic. Investors like to fantasize about the future, but founders forge it. That’s why we’ve followed some of Europe’s boldest entrepreneurs to every frontier from Cellular Agriculture to next-gen Popular Entertainment. We also believe you are your company’s most important asset. This is especially true at Seed. Even at the edges of DeepTech, the people you hire and the culture you foster will disproportionately define your future success. That’s why we focus on helping our founders scale as leaders.",VC,"$250,000","$3,000,000"
BackFuture Ventures,https://www.backfuture.vc/,London,"USA,UK,Canada,Greece,Ireland,Israel,Poland,Spain,Sweden,Switzerland,Turkey","1. Idea or Patent,2. Prototype,3. Early Revenue","We invest in B2B SaaS at pre-seed and seed companies.  We invest globally, but look to connect and engage with founders in the EU, UK, and US.",VC,"$100,000","$200,000"
Badhouse Ventures,https://badhouse.ca,"666 Burrard St, Vancouver, BC, Canada",Canada,"2. Prototype,3. Early Revenue","We invest in very early-stage software (SaaS, web3, etc.) startups solving problems that fall under two themes: smarter communities and/or smarter data systems. We have a strong Western Canada (West of Toronto) selection bias given the acute Pre-Seed funding/investment gap in this region compared to others.",VC,"$10,000","$150,000"
BADideas.fund,https://badideas.fund,"Riga, Latvia","Albania,Belarus,Czech Republic,Estonia,Latvia,Lithuania,Moldova,Poland,Romania,Slovakia,Slovenia,Ukraine","1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling","We invest in post-MVP CEE rooted founders, primarily B2B SaaS and marketplace.
Led by helpful founders & operators. Among members/investors - 200 founders and operators from 20 countries, who’ve been building such companies as Vimeo ($450M funding), Printify ($54M), Pandadoc ($51M), Pipedrive ($90M), Bolt ($2B funding), etc.",Angel network,"$50,000","$1,000,000"
Bahman Capital,http://bahmancapital.com/,"Sharif University innovation zone, Tehran",Iran,"3. Early Revenue,2. Prototype,4. Scaling",We invest in software innovative solutions and industrial hightech initiatives.,VC,"$20,000","$500,000"
Balnord,https://www.balnord.vc/,"2562, Place de Strasbourg 2,  Luxembourg","Poland,Lithuania,Latvia,Estonia,Finland,Denmark,Sweden,Norway","1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling","We invest in deep tech and dual use technologies especially in verticals like SpaceTech, Healthcare and Supply Chain.",VC,"$500,000","$2,000,000"
Baloise Mobility,https://www.baloise.com/mobility,"Aeschengraben 21, Basel, 4002, CH","Germany,Switzerland,Belgium,Luxembourg,Spain,France,Italy,Denmark,Sweden,Finland","2. Prototype,3. Early Revenue,4. Scaling",We invest in Mobility startups with
